#                                                     Median Trend                                                                     All points                                   
# log(mass) [Msun]  m                   sigma(m)            b                   sigma(b)            m                   sigma(m)            b                   sigma(b)            
12.1505149978       0.00068871492727    0.000143659579077   -0.0051554826576    6.97369036954e-06   0.000692866829922   0.000148947787238   -0.00543537782505   7.89854675531e-06   
12.5                0.000929714028671   0.000118541891468   -0.00522333464929   5.46176772108e-06   0.00112363114022    0.000147705315612   -0.00558768538758   7.45244324207e-06   
12.8494850022       0.00100493458234    0.000149097003916   -0.0053261519307    6.72427960244e-06   0.0014532894711     0.000234840845224   -0.00585214979947   1.1321157217e-05    
13.1505149978       0.00153743901546    0.000159213987911   -0.00546646078489   7.49572880395e-06   0.00157015706645    0.000290277821478   -0.0061775597278    1.46080274135e-05   
13.5                0.00154594865829    0.000151117404866   -0.00564573653896   7.9033038691e-06    0.00236555200536    0.000335997552611   -0.00659606861882   1.77023466676e-05   
13.8494850022       0.00214173724167    0.000245722197523   -0.00590871711581   1.24229190977e-05   0.00354033417534    0.000549327698536   -0.00719314231537   2.80763488263e-05   
14.1505149978       0.00299593910895    0.000357846531244   -0.0062252252249    1.85737947546e-05   0.00441822246648    0.000806916272268   -0.00772217893973   4.15351241827e-05   
14.5                0.00216511229395    0.000618529149873   -0.00660194634114   2.71489570726e-05   0.00422749458812    0.00117804319598    -0.00821350282058   6.47758133709e-05   
14.8494850022       0.00132296857571    0.00144625693514    -0.0073956989674    7.07148371713e-05   0.00137709453702    0.00336011778563    -0.00940985931084   0.000185399781913   
15.5                -0.00237881647788   0.0035595039882     -0.00789999225924   0.000185376695313   -0.0012207578402    0.00808409112506    -0.00957037368789   0.000373906921595   
